Machine Delusions,167.13463102,714,3.1252,987417.582250622
MUSKWIFHAT,1595.38855322,377,0,785492.9840634877
Chill Beast,43.960287535,130,0,29009.53470571513
Chill Government,110.648035557,5267,0,7988964.713178212
Maggie The Labrador,10.041183571,160,0,125424.8101433317
Nostalgia,72.712871387,814,0,1771537.544497026
Sprunki,69.497003494,360,1.759,101825.2824071742
Valentine,184.949513942,1269,1.7613,6451946.5359287
MUSTAAAAAARD,2423.597623776,15097,0.15,93197216.448142
I AM IRONYMAN,476.88274221,6825,0,30432586.55064907
Rizzyear,194.155959564,2279,0,1228849.973295906
IRL LIVE STREAM UNTIL 100M,210.197837975,1787,1.0624,3816083.276813277
MAGAvengers,73.198137884,182,2.3095,99117.31411398535
ai16zero,147.257902511,957,0,1888311.805760178
PA(JEET),76.788806844,136,0,83623.28449649026
MUSTAAAAAARD,2421.514290443,15096,0.15,93196678.08712292
OSMAN,188.215364113,3232,3.4613,12636309.43128882
Crampette,62.571394964,322,0,257836.7247531647
melody,47.069771998,388,0,837930.8739624299
OCTOALIENCOIN,44.996215295,167,1.8429,58685.67561803849
Just a Puff Guy,51.441629525,187,0,94011.91832051706
I AM IRONYMAN,477.065539496,6825,0,30432539.31340114
power of irony man Elon,120.151786031,430,0,272006.7611982212
Chillgamble,67.960230125,123,0.1785,25727.88201883699
MATRI𝕏,25.866536465,233,0,510002.7683630693
WOULD,178.820392478,1302,0,4916541.869762211
emilycc,86.910122499,710,0,941111.4849026942
PA(JEET),75.808608824,135,0,83363.52418616488
Machine Delusions,167.126090537,714,3.1252,987419.7892249252
just a pickle,71.916962778,258,0,165559.1247596974
CATAR,74.392404939,220,0,120118.3715660292
Rizzyear,194.453030425,2279,0,1228773.206237592
IRL LIVE STREAM UNTIL 100M,210.244463834,1787,1.0624,3816071.228071691
WOULD,178.571942823,1301,0,4916606.072454758
PA(JEET),75.808608825,135,0,83369.98830234048
Rizzyear,194.355959564,2280,0,1228901.655953744
ai16zero,147.307902511,957,0,1888324.726424638
MUSTAAAAAARD,2416.702422811,15097,0.15,93198998.259703
Just a Chill Arab Guy,68.988708513,366,1.7609,253071.8677712459
